LSTM1,LSTM2,LSTM3,LSTM4
-1.605591,122.33539,217.22478,3.2254913
-1.5834996,121.65932,217.21783,3.2249157
-1.5624088,121.52602,217.21805,3.224948
-1.557693,122.412865,217.2154,3.2258244
-1.5585315,122.58576,217.2075,3.2257724
-1.5320189,121.96917,217.20222,3.226012
-1.5098076,121.23497,217.19937,3.2250266
-1.4841276,121.827324,217.19211,3.2247555
-1.465195,121.811195,217.18762,3.2238836
-1.451392,121.877884,217.1822,3.224332
-1.4492347,121.237885,217.17667,3.2254503
-1.4382291,122.15953,217.17355,3.2256536
-1.4065511,122.90703,217.16568,3.226657
-1.4019327,122.44223,217.161,3.226323
-1.4024158,122.019394,217.1529,3.2251337
-4.62131,482.58194,856.87787,12.752932
-4.607372,482.23914,856.9275,12.755185
-4.5624533,481.27173,856.977,12.755026
-4.5573864,482.0808,856.9912,12.756562
-4.5397487,483.40894,857.0454,12.754852
-4.488151,484.21207,857.0553,12.755555
-4.459337,483.5425,857.0847,12.75575
-4.4224343,484.55292,857.0893,12.754684
-4.3771367,483.22675,857.10724,12.755388
-4.3334794,483.38266,857.126,12.753257
-4.2943153,485.35577,857.1377,12.754582
-4.2519965,483.81964,857.1331,12.754291
-4.2076507,483.73846,857.1481,12.755281
-4.1753497,485.71335,857.1595,12.757977
-4.1524277,485.92157,857.1519,12.758154
-4.1018744,484.3298,857.1515,12.760074
-4.0530376,482.36554,857.1581,12.757156
-4.008941,483.7595,857.1514,12.758823
-3.9790077,483.38055,857.1559,12.754807
-3.9476447,484.01147,857.1512,12.755867
-3.9205816,482.32944,857.14795,12.756932
-3.8847332,483.9439,857.15515,12.758367
-3.8292744,485.95584,857.1459,12.759401
-3.7986515,484.83414,857.14215,12.75815
-3.7734752,483.9763,857.1282,12.75587
-3.8250675,1013.2958,1770.4312,30.328304
-3.8565578,1012.3983,1770.4686,30.330557
-3.8435805,1011.64014,1770.537,30.33023
-3.8756328,1012.94116,1770.5405,30.333208
-3.8876367,1014.57227,1770.613,30.32951
-3.875724,1015.52527,1770.623,30.32972
-3.8771017,1014.4857,1770.6835,30.330347
-3.8650491,1017.50726,1770.6932,30.3282
-3.8358903,1015.08105,1770.734,30.330015
-3.793051,1013.8541,1770.7827,30.326136
-3.740133,1017.0832,1770.8265,30.327051
-3.6841679,1014.8974,1770.8408,30.326923
-3.6299987,1014.8612,1770.901,30.328789
-3.6024442,1017.36523,1770.9579,30.331171
-3.5683725,1018.4612,1770.9922,30.332258
-3.51621,1016.0589,1771.0635,30.33428
-3.4594452,1013.1082,1771.153,30.327848
-3.397315,1015.36523,1771.249,30.330908
-3.34309,1014.4243,1771.3994,30.32248
-3.2942367,1017.9872,1771.5774,30.324875
-3.233078,1017.09845,1771.8334,30.325508
-3.169872,1018.66223,1772.2147,30.327234
-3.0813286,1021.0561,1772.7216,30.328606
-3.033119,1019.16925,1773.4255,30.327053
-2.9909797,1017.8488,1774.3549,30.323818
-4.62131,482.58194,856.87787,12.752932
-4.607372,482.23914,856.9275,12.755185
-4.5624533,481.27173,856.977,12.755026
-4.5573864,482.0808,856.9912,12.756562
-4.5397487,483.40894,857.0454,12.754852
-4.488151,484.21207,857.0553,12.755555
-4.459337,483.5425,857.0847,12.75575
-4.4224343,484.55292,857.0893,12.754684
-4.3771367,483.22675,857.10724,12.755388
-4.3334794,483.38266,857.126,12.753257
-4.2943153,485.35577,857.1377,12.754582
-4.2519965,483.81964,857.1331,12.754291
-4.2076507,483.73846,857.1481,12.755281
-4.1753497,485.71335,857.1595,12.757977
-4.1524277,485.92157,857.1519,12.758154
-4.1018744,484.3298,857.1515,12.760074
-4.0530376,482.36554,857.1581,12.757156
-4.008941,483.7595,857.1514,12.758823
-3.9790077,483.38055,857.1559,12.754807
-3.9476447,484.01147,857.1512,12.755867
-3.9205816,482.32944,857.14795,12.756932
-3.8847332,483.9439,857.15515,12.758367
-3.8292744,485.95584,857.1459,12.759401
-3.7986515,484.83414,857.14215,12.75815
-3.7734752,483.9763,857.1282,12.75587
-0.9028379,888.4163,1562.8562,25.792612
-0.92858946,887.5341,1562.8939,25.79488
-0.92213863,886.76526,1562.9567,25.79464
-0.9574009,887.7996,1562.9583,25.797005
-0.9694616,889.2519,1563.0208,25.793564
-0.957635,890.1116,1563.0266,25.793806
-0.9653875,888.8026,1563.0692,25.794699
-0.96289307,891.1908,1563.0692,25.792725
-0.9436709,889.09033,1563.0956,25.79426
-0.9278906,888.1484,1563.124,25.790833
-0.9144152,891.207,1563.1455,25.792585
-0.9011961,889.191,1563.138,25.792774
-0.8863021,889.234,1563.1654,25.794636
-0.8863339,891.6377,1563.183,25.797438
-0.89102066,891.8502,1563.1738,25.7983
-0.8775154,889.74585,1563.1819,25.800446
-0.86427987,887.07794,1563.196,25.79476
-0.85034096,889.2003,1563.1896,25.79736
-0.83877784,888.4493,1563.2034,25.789593
-0.8246796,889.66187,1563.2,25.791508
-0.8084673,887.2902,1563.2026,25.792599
-0.7794365,889.05994,1563.2188,25.794474
-0.73178446,891.67865,1563.2158,25.79607
-0.7137101,890.2382,1563.2169,25.794445
-0.699797,889.3478,1563.1993,25.791132
-0.902845,888.4163,1562.8562,25.792612
-0.92859685,887.5341,1562.8939,25.79488
-0.922146,886.76526,1562.9567,25.79464
-0.9574083,887.7996,1562.9583,25.797005
-0.969469,889.2519,1563.0208,25.793564
-0.9576424,890.1116,1563.0266,25.793806
-0.9653949,888.8026,1563.0692,25.794699
-0.9629002,891.19086,1563.0692,25.792725
-0.9436781,889.09033,1563.0956,25.79426
-0.927898,888.1484,1563.124,25.790833
-0.91442233,891.207,1563.1454,25.792585
-0.9012033,889.191,1563.138,25.792774
-0.886309,889.234,1563.1654,25.794636
-0.88634056,891.6377,1563.183,25.797438
-0.89102733,891.8502,1563.1738,25.7983
-0.87752205,889.74585,1563.1819,25.800446
-0.86428654,887.07794,1563.196,25.79476
-0.85034764,889.2003,1563.1896,25.79736
-0.83878404,888.4493,1563.2031,25.789593
-0.8246858,889.66187,1563.2,25.791508
