,cellMass,time,predyn,generation,class
209,938.6565835898182,12462,0,4,0
210,948.839814744518,12522,0,4,0
211,958.2961341535614,12582,0,4,0
212,967.7033881404658,12642,0,4,0
213,977.3439372577952,12702,0,4,0
214,987.6240246119952,12762,0,4,0
215,998.1757186243884,12822,0,4,0
216,1008.8591935538218,12882,0,4,0
217,1019.6005179537948,12942,0,4,0
218,1030.3334123462253,13002,0,4,0
219,1041.204688,13062,0,4,0
220,1052.442509453821,13122,0,4,0
221,1063.1524696828092,13182,0,4,0
222,1073.6115088708968,13242,0,4,0
223,1084.6728545207318,13302,0,4,0
224,1096.2125153814006,13362,0,4,0
225,1107.840441,13422,0,4,0
226,1119.9493729590454,13482,0,4,0
227,1131.6015358827433,13542,0,4,0
228,1144.0124237016073,13602,0,4,0
229,1156.095774192344,13662,0,4,0
230,1168.239261,13722,0,4,0
231,1181.095198747578,13782,0,4,0
232,1195.1711958649703,13842,0,4,0
233,1209.5669120672198,13902,0,4,0
234,1224.554768433018,13962,0,4,0
235,1240.7256574873168,14022,0,4,0
236,1258.402541231303,14082,0,4,0
237,1276.7289344128685,14142,0,4,0
238,1295.3509519770655,14202,0,4,0
239,1314.4116580550935,14262,0,4,0
240,1333.4723641331243,14322,1,4,0
241,1352.533070211155,14382,1,4,0
242,1371.5937762891858,14442,1,4,0
243,1390.6544823672166,14502,1,4,0
244,1409.7151884452471,14562,1,4,0
245,1428.775894523278,14622,1,4,0
246,1447.8366006013089,14682,1,4,0
247,1466.8973066793396,14742,1,4,0
248,1485.9580127573704,14802,1,4,0
249,1505.0187188354012,14862,1,4,0
250,1524.079424913432,14922,1,4,0
251,1543.140130991463,14982,1,4,0
252,1562.2008370694934,15042,1,4,0
253,1581.2615431475242,15102,1,4,0
254,1600.322249225555,15162,1,4,0
255,1619.3829553035855,15222,1,4,0
256,1638.4436613816165,15282,1,4,0
257,1657.5043674596473,15342,1,4,0
258,1676.565073537678,15402,1,4,0
259,1695.6257796157088,15462,1,4,1
260,1714.6864856937395,15522,1,4,1
261,1733.7471917717703,15582,1,4,0
262,1752.807897849801,15642,1,4,0
263,1771.8686039278318,15702,1,4,0
264,1790.9293100058626,15762,1,4,1
265,1809.9900160838931,15822,1,4,0
266,1829.050722161924,15882,1,4,1
267,1848.1114282399549,15942,1,4,1
268,1867.1721343179856,16002,1,4,1
269,1886.2328403960164,16062,1,4,1
270,1905.2935464740472,16122,1,4,0
271,1924.354252552078,16182,1,4,1
272,1943.414958630109,16242,1,4,1
273,1039.7744877268924,16295,0,5,0
274,1047.4736889529397,16355,0,5,0
275,1060.2603622825563,16415,0,5,0
276,1073.1237758196323,16475,0,5,0
277,1085.7731035502582,16535,0,5,0
278,1098.523491897345,16595,0,5,0
279,1111.665261996538,16655,0,5,0
280,1124.9435669928014,16715,0,5,0
281,1138.4896645543256,16775,0,5,0
282,1151.9512067953774,16835,0,5,0
283,1165.4796553010312,16895,0,5,0
284,1178.987884378863,16955,0,5,0
285,1193.022009091664,17015,0,5,0
286,1207.643908650988,17075,0,5,0
287,1222.224562524042,17135,0,5,0
288,1237.091815447321,17195,0,5,0
289,1252.3978524953077,17255,0,5,0
290,1268.961485210002,17315,0,5,0
291,1285.7740313646357,17375,0,5,0
292,1302.888580984281,17435,0,5,0
293,1320.0103563964235,17495,0,5,0
294,1337.873434798587,17555,0,5,0
295,1355.7264111207958,17615,0,5,0
296,1374.2892884885407,17675,0,5,0
297,1392.689676141474,17735,0,5,0
298,1411.1540422969954,17795,0,5,0
299,1429.4123941412693,17855,0,5,0
300,1448.1736121478257,17915,0,5,0
301,1467.3602923382475,17975,1,5,0
302,1486.9724347125357,18035,1,5,0
303,1507.0100392706893,18095,1,5,0
304,1527.4731060127085,18155,1,5,0
305,1548.3616349385936,18215,1,5,0
306,1569.6756260483444,18275,1,5,0
307,1591.415079341961,18335,1,5,0
308,1613.5799948194433,18395,1,5,0
309,1636.1703724807912,18455,1,5,0
310,1659.186212326005,18515,1,5,0
311,1682.6275143550845,18575,1,5,1
312,1706.4942785680296,18635,1,5,1
313,1730.7865049648406,18695,1,5,0
314,1755.5041935455172,18755,1,5,1
315,1780.6473443100597,18815,1,5,1
316,1806.215957258468,18875,1,5,0
317,1832.2100323907416,18935,1,5,0
318,1858.6295697068813,18995,1,5,0
319,1885.4745692068864,19055,1,5,0
320,1912.7450308907576,19115,1,5,1
321,1940.4409547584944,19175,1,5,1
322,1968.562340810097,19235,1,5,1
323,1997.1091890455652,19295,1,5,1
324,2026.0814994648997,19355,1,5,1
325,2055.4792720681,19415,1,5,1
326,2085.302506855165,19475,1,5,1
327,2115.5512038260968,19535,1,5,1
